년,지역,면적 (ha),10a당 생산량 (kg),생산량 (톤),sp평균상대습도(%),sp최소상대습도(%),su평균상대습도(%),su최소상대습도(%),fa평균상대습도(%),fa최소상대습도(%),sp평균현지기압(hPa),sp평균해면기압(hPa),sp최고해면기압(hPa),sp최저해면기압(hPa),su평균현지기압(hPa),su평균해면기압(hPa),su최고해면기압(hPa),su최저해면기압(hPa),fa평균현지기압(hPa),fa평균해면기압(hPa),fa최고해면기압(hPa),fa최저해면기압(hPa),sp합계일조시간(hr),sp합계전천일사량(MJ/㎡),su합계일조시간(hr),su합계전천일사량(MJ/㎡),fa합계일조시간(hr),fa합계전천일사량(MJ/㎡),sp평균기온(℃),sp최고기온 평균(℃),sp최저기온 평균(℃),sp강수량(mm),su평균기온(℃),su최고기온 평균(℃),su최저기온 평균(℃),su강수량(mm),fa평균기온(℃),fa최고기온 평균(℃),fa최저기온 평균(℃),fa강수량(mm),sp평균풍속(m/s),sp최대풍속(m/s),su평균풍속(m/s),su최대풍속(m/s),fa평균풍속(m/s),fa최대풍속(m/s)
1983,부산광역시,0,0,0,64.0,23.0,75.0,39.7,79.5,52.5,1007.8,1016.3,1028.1,1002.4,1000.8,1009.1,1017.7,995.9,1002.0,1010.1,1016.8,997.3,193.4,516.2,214.8,620.7,194.0,508.9,11.1,15.6,7.3,190.0,20.5,24.3,17.6,164.5,24.6,28.3,21.9,364.6,4.4,20.6,3.8,14.0,3.8,11.5
1983,서울특별시,15,416,62,58.5,12.0,71.7,31.7,78.0,36.5,1005.5,1016.0,1028.4,1002.1,998.2,1008.2,1017.5,995.8,1000.2,1010.1,1016.6,999.9,206.8,400.2,194.8,455.7,171.6,392.1,10.0,15.2,5.2,90.4,21.4,26.1,17.2,165.0,24.0,28.0,20.7,192.8,3.0,13.6,2.5,9.8,2.1,9.0
1983,인천광역시,1,411,4,66.5,22.5,79.0,36.7,84.5,38.0,1015.0,1016.4,1028.6,1001.4,1007.1,1008.5,1017.7,996.0,1009.1,1010.3,1016.9,1000.3,236.0,405.1,237.4,501.2,220.3,425.5,8.8,13.8,4.1,163.9,20.1,24.8,16.3,289.0,23.2,27.4,19.9,250.6,4.4,18.1,3.4,14.0,3.0,9.6
1983,전라남도,575,1212,6969,75.0,35.5,81.7,37.7,83.0,45.5,1015.3,1017.3,1028.5,1003.2,1007.7,1009.8,1018.9,996.9,1008.2,1010.5,1018.0,997.5,218.5,421.4,252.1,523.5,226.1,473.3,10.5,15.4,6.0,640.0,20.7,25.4,16.8,892.2,24.6,28.7,21.3,1185.4,3.0,12.5,2.2,10.3,2.2,11.0
1983,전라북도,1473,920,13552,74.0,24.0,79.7,38.0,84.5,45.0,1016.2,1019.5,1028.6,1003.8,1009.4,1011.6,1018.8,996.5,1010.4,1012.6,1018.4,999.2,235.2,439.4,266.3,555.1,249.8,447.9,9.6,15.8,4.1,595.0,21.1,26.6,16.2,853.7,24.0,29.0,20.2,1071.6,2.0,10.8,1.6,7.3,1.4,8.0
1983,제주도,0,0,0,76.5,31.0,84.3,40.3,85.0,54.5,1016.8,1016.4,1026.7,1001.0,1009.4,1009.0,1018.0,997.0,1009.7,1009.2,1017.4,996.2,169.1,407.4,200.6,553.2,169.0,425.2,12.4,15.9,8.5,380.0,21.0,24.5,17.7,445.9,25.4,28.7,22.6,1114.6,3.8,14.7,2.9,10.1,2.9,13.0
1983,충청남도,4012,1195,47943,76.5,33.0,81.3,41.0,87.0,53.0,1016.0,1016.8,1028.2,1001.8,1008.1,1008.8,1017.6,996.0,1009.5,1010.2,1017.2,999.8,255.1,490.7,275.3,614.6,248.6,464.5,9.0,15.4,3.2,489.2,20.8,26.5,15.6,746.7,23.6,28.5,19.5,1026.6,2.2,10.8,1.7,8.0,1.5,7.0
1983,충청북도,5595,1368,76540,72.5,18.0,77.0,28.7,83.0,40.5,1009.6,1016.9,1029.2,1002.6,1002.2,1009.1,1019.0,997.0,1003.9,1010.8,1018.1,999.3,224.2,463.5,245.2,561.6,203.8,424.8,8.8,15.7,2.4,549.5,20.9,26.9,15.5,764.4,22.9,28.1,18.8,829.2,1.8,10.9,1.5,8.0,1.4,7.1
1984,강원도,1097,831,9116,75.5,32.0,84.0,42.0,87.0,47.0,1019.3,1023.5,1035.6,1008.8,1009.6,1013.6,1024.5,1000.3,1012.0,1016.8,1026.8,999.4,254.6,507.3,282.9,575.4,245.6,451.1,5.2,11.1,-0.3,385.6,20.1,25.7,15.1,1078.7,21.4,26.6,17.5,2799.0,2.2,10.0,1.7,8.4,1.5,7.2
1984,경기도,2300,830,19090,67.5,28.0,77.0,31.7,81.0,38.5,1014.8,1019.4,1027.8,1005.8,1004.3,1008.7,1016.8,996.0,1007.2,1011.4,1019.8,994.9,236.0,463.2,246.0,534.3,205.8,438.6,6.6,13.2,0.6,116.0,21.7,27.7,16.5,483.2,22.5,28.2,18.3,892.0,1.6,8.5,1.1,6.9,0.8,5.5
