년,월,합계일조시간(hr),합계전천일사량(MJ/㎡),지역
 2002,04,156.3,476.25,부산광역시
 2002,05,161.8,526.78,부산광역시
 2002,06,209.4,606.62,부산광역시
 2002,07,150.0,511.49,부산광역시
 2002,08,127.4,412.02,부산광역시
 2002,09,190.2,485.43,부산광역시
 2003,03,152.7,381.61,부산광역시
 2003,04,150.2,416.69,부산광역시
 2003,05,134.4,486.33,부산광역시
 2003,06,148.2,459.6,부산광역시
 2003,07,69.4,310.92,부산광역시
 2003,08,127.9,399.14,부산광역시
 2003,09,155.0,388.8,부산광역시
 2004,03,226.7,467.63,부산광역시
 2004,04,228.5,532.49,부산광역시
 2004,05,167.4,466.64,부산광역시
 2004,06,194.5,529.41,부산광역시
 2004,07,197.1,535.65,부산광역시
 2004,08,177.0,470.49,부산광역시
 2004,09,114.1,321.14,부산광역시
 2005,03,228.9,496.36,부산광역시
 2005,04,240.6,571.74,부산광역시
 2005,05,261.6,688.4,부산광역시
 2005,06,192.1,543.74,부산광역시
 2005,07,157.4,469.92,부산광역시
 2005,08,174.5,512.4,부산광역시
 2005,09,138.8,383.56,부산광역시
 2006,03,229.7,499.11,부산광역시
 2006,04,173.1,476.6,부산광역시
 2006,05,170.2,531.24,부산광역시
 2006,06,188.4,571.09,부산광역시
 2006,07,93.9,341.26,부산광역시
 2006,08,249.5,648.96,부산광역시
 2006,09,151.9,429.21,부산광역시
 2007,03,185.6,452.52,부산광역시
 2007,04,218.7,587.97,부산광역시
 2007,05,247.5,698.64,부산광역시
 2007,06,147.3,532.76,부산광역시
 2007,07,127.2,471.89,부산광역시
 2007,08,180.3,552.07,부산광역시
 2007,09,120.1,370.05,부산광역시
 2008,03,210.2,516.05,부산광역시
 2008,04,221.6,604.44,부산광역시
 2008,05,226.1,638.56,부산광역시
 2008,06,131.4,460.38,부산광역시
 2008,07,178.6,589.1,부산광역시
 2008,08,209.4,580.07,부산광역시
 2008,09,160.1,419.11,부산광역시
 2009,03,199.2,487.61,부산광역시
 2009,04,234.8,605.99,부산광역시
 2009,05,223.5,660.86,부산광역시
 2009,06,186.6,626.87,부산광역시
 2009,07,84.2,429.28,부산광역시
 2009,08,135.7,505.21,부산광역시
 2009,09,156.8,464.67,부산광역시
 2010,03,117.4,351.95,부산광역시
 2010,04,167.2,481.21,부산광역시
 2010,05,204.0,589.84,부산광역시
 2010,06,201.3,594.17,부산광역시
 2010,07,165.1,545.63,부산광역시
 2010,08,212.6,573.72,부산광역시
 2010,09,192.4,474.72,부산광역시
 2011,03,268.4,560.87,부산광역시
 2011,04,234.2,583.48,부산광역시
 2011,05,172.0,531.54,부산광역시
 2011,06,127.0,502.96,부산광역시
 2011,07,175.0,569.69,부산광역시
 2011,08,121.5,446.12,부산광역시
 2011,09,187.0,463.6,부산광역시
 2012,03,197.0,411.27,부산광역시
 2012,04,240.3,535.26,부산광역시
 2012,05,238.2,590.19,부산광역시
 2012,06,179.6,490.71,부산광역시
 2012,07,221.4,545.72,부산광역시
 2012,08,218.5,499.96,부산광역시
 2012,09,216.5,434.16,부산광역시
 2013,03,248.1,491.73,부산광역시
 2013,04,244.3,533.17,부산광역시
