년,월,평균상대습도(%),최소상대습도(%),지역
 1981,04,53,15,대구광역시
 1981,05,54,15,대구광역시
 1981,06,66,18,대구광역시
 1981,07,75,34,대구광역시
 1981,08,73,30,대구광역시
 1981,09,70,23,대구광역시
 1982,03,57,11,대구광역시
 1982,04,56,15,대구광역시
 1982,05,62,11,대구광역시
 1982,06,60,21,대구광역시
 1982,07,70,26,대구광역시
 1982,08,74,32,대구광역시
 1982,09,65,23,대구광역시
 1983,03,60,15,대구광역시
 1983,04,58,12,대구광역시
 1983,05,61,11,대구광역시
 1983,06,66,13,대구광역시
 1983,07,78,39,대구광역시
 1983,08,75,36,대구광역시
 1983,09,81,37,대구광역시
 1984,03,59,29,대구광역시
 1984,04,69,28,대구광역시
 1984,05,64,31,대구광역시
 1984,06,73,35,대구광역시
 1984,07,77,46,대구광역시
 1984,08,75,42,대구광역시
 1984,09,77,45,대구광역시
 1985,03,67,37,대구광역시
 1985,04,64,34,대구광역시
 1985,05,69,34,대구광역시
 1985,06,76,41,대구광역시
 1985,07,80,55,대구광역시
 1985,08,79,41,대구광역시
 1985,09,79,43,대구광역시
 1986,03,68,33,대구광역시
 1986,04,56,22,대구광역시
 1986,05,61,25,대구광역시
 1986,06,74,28,대구광역시
 1986,07,79,44,대구광역시
 1986,08,77,41,대구광역시
 1986,09,74,27,대구광역시
 1987,03,59,24,대구광역시
 1987,04,56,19,대구광역시
 1987,05,63,19,대구광역시
 1987,06,66,21,대구광역시
 1987,07,77,37,대구광역시
 1987,08,82,49,대구광역시
 1987,09,71,24,대구광역시
 1988,03,58,21,대구광역시
 1988,04,53,19,대구광역시
 1988,05,60,17,대구광역시
 1988,06,71,26,대구광역시
 1988,07,79,43,대구광역시
 1988,08,76,42,대구광역시
 1988,09,74,36,대구광역시
 1989,03,61,19,대구광역시
 1989,04,56,19,대구광역시
 1989,05,64,24,대구광역시
 1989,06,70,25,대구광역시
 1989,07,79,23,대구광역시
 1989,08,72,35,대구광역시
 1989,09,77,28,대구광역시
 1990,03,59,13,대구광역시
 1990,04,58,18,대구광역시
 1990,05,65,24,대구광역시
 1990,06,70,23,대구광역시
 1990,07,75,40,대구광역시
 1990,08,70,28,대구광역시
 1990,09,75,34,대구광역시
 1991,03,62,18,대구광역시
 1991,04,56,9,대구광역시
 1991,05,55,14,대구광역시
 1991,06,65,29,대구광역시
 1991,07,76,34,대구광역시
 1991,08,74,39,대구광역시
 1991,09,73,28,대구광역시
 1992,03,65,17,대구광역시
 1992,04,58,16,대구광역시
 1992,05,62,21,대구광역시
 1992,06,63,21,대구광역시
 1992,07,71,31,대구광역시
 1992,08,77,38,대구광역시
 1992,09,76,38,대구광역시
 1993,03,63,20,대구광역시
 1993,04,58,23,대구광역시
 1993,05,69,23,대구광역시
 1993,06,76,29,대구광역시
 1993,07,78,37,대구광역시
 1993,08,80,26,대구광역시
 1993,09,73,25,대구광역시
 1994,03,52,18,대구광역시
 1994,04,54,16,대구광역시
 1994,05,58,18,대구광역시
 1994,06,63,21,대구광역시
 1994,07,65,25,대구광역시
 1994,08,65,25,대구광역시
 1994,09,58,22,대구광역시
 1995,03,56,15,대구광역시
 1995,04,46,16,대구광역시
 1995,05,54,16,대구광역시
 1995,06,61,17,대구광역시
 1995,07,71,34,대구광역시
 1995,08,75,40,대구광역시
 1995,09,75,31,대구광역시
 1996,03,53,15,대구광역시
 1996,04,44,10,대구광역시
 1996,05,57,16,대구광역시
 1996,06,71,27,대구광역시
 1996,07,70,37,대구광역시
 1996,08,67,24,대구광역시
 1996,09,68,20,대구광역시
 1997,03,54,16,대구광역시
 1997,04,55,9,대구광역시
 1997,05,61,19,대구광역시
 1997,06,62,21,대구광역시
 1997,07,71,31,대구광역시
 1997,08,70,30,대구광역시
 1997,09,62,25,대구광역시
 1998,03,49,15,대구광역시
 1998,04,65,21,대구광역시
 1998,05,59,19,대구광역시
 1998,06,71,32,대구광역시
 1998,07,72,41,대구광역시
 1998,08,74,36,대구광역시
 1998,09,68,22,대구광역시
 1999,03,54,11,대구광역시
 1999,04,58,14,대구광역시
 1999,05,56,18,대구광역시
 1999,06,66,21,대구광역시
 1999,07,74,41,대구광역시
 1999,08,76,43,대구광역시
 1999,09,76,18,대구광역시
 2000,03,42,11,대구광역시
