년,월,평균풍속(m/s),최대풍속(m/s),지역
 2021,03,1.5,7.3,경기도
 2021,04,1.7,7.3,경기도
 2021,05,1.5,7.4,경기도
 2021,06,1.3,6.3,경기도
 2021,07,1.2,6.2,경기도
 2021,08,1.2,6.9,경기도
 2021,09,1.3,5.8,경기도
 2022,03,1.6,9.2,경기도
 2022,04,1.7,6.4,경기도
 2022,05,1.7,7.2,경기도
 2022,06,1.6,7.8,경기도
 2022,07,1.2,5.8,경기도
 2022,08,1.3,6.8,경기도
 2022,09,1.1,5.8,경기도
 1980,03,1.6,8.4,경상남도
 1980,04,2.2,13.3,경상남도
 1980,05,1.7,10.6,경상남도
 1980,06,1.6,10.4,경상남도
 1980,07,1.2,9.0,경상남도
 1980,08,1.1,8.1,경상남도
 1980,09,1.2,8.2,경상남도
 1981,03,2.0,10.3,경상남도
 1981,04,1.9,8.8,경상남도
 1981,05,1.9,8.7,경상남도
 1981,06,1.4,8.5,경상남도
 1981,07,1.7,9.4,경상남도
 1981,08,1.5,8.6,경상남도
 1981,09,1.1,8.6,경상남도
 1982,03,1.8,9.6,경상남도
 1982,04,1.7,10.3,경상남도
 1982,05,1.9,10.1,경상남도
 1982,06,1.4,6.7,경상남도
 1982,07,1.2,7.9,경상남도
 1982,08,1.6,8.4,경상남도
 1982,09,1.2,7.6,경상남도
 1983,03,1.8,10.5,경상남도
 1983,04,1.9,12.1,경상남도
 1983,05,1.5,8.7,경상남도
 1983,06,1.4,8.0,경상남도
 1983,07,1.6,7.6,경상남도
 1983,08,1.2,6.4,경상남도
 1983,09,1.1,6.6,경상남도
 1984,03,2.1,9.5,경상남도
 1984,04,1.7,8.0,경상남도
 1984,05,1.4,8.2,경상남도
 1984,06,1.5,8.7,경상남도
 1984,07,1.4,8.2,경상남도
 1984,08,1.4,8.5,경상남도
 1984,09,1.2,9.0,경상남도
 1985,03,1.7,9.6,경상남도
 1985,04,2.0,10.5,경상남도
 1985,05,1.7,8.7,경상남도
 1985,06,1.2,6.4,경상남도
 1985,07,1.5,7.2,경상남도
 1985,08,1.5,10.1,경상남도
 1985,09,1.4,7.9,경상남도
 1986,03,1.7,8.2,경상남도
 1986,04,1.7,9.8,경상남도
 1986,05,1.7,8.4,경상남도
 1986,06,1.4,8.7,경상남도
 1986,07,1.5,7.1,경상남도
 1986,08,1.6,15.2,경상남도
 1986,09,1.1,7.4,경상남도
 1987,03,1.8,10.0,경상남도
