년,지역,면적 (ha),10a당 생산량 (kg),생산량 (톤)
2011,전라남도,292,715,2088
2011,전라북도,1835,1485,27252
2011,제주도,0,0,0
2011,충청남도,1648,1291,21271
2011,충청북도,4158,1019,42387
2012,강원도,434,328,1422
2012,경기도,299,685,2047
2012,경상남도,3156,1259,39719
2012,경상북도,19024,1323,251661
2012,광주광역시,0,0,0
2012,대구광역시,74,1615,1195
2012,대전광역시,4,735,29
2012,부산광역시,3,584,18
2012,서울특별시,0,0,0
2012,울산광역시,2,0,0
2012,인천광역시,18,0,0
2012,전라남도,273,636,1737
2012,전라북도,1869,1348,25191
2012,제주도,0,0,0
2012,충청남도,1562,1148,17936
2012,충청북도,4016,1336,53641
2013,강원도,516,500,2578
2013,경기도,283,984,2784
2013,경상남도,3148,1816,57142
2013,경상북도,18895,1636,309129
2013,광주광역시,0,0,0
2013,대구광역시,86,1378,1185
2013,대전광역시,4,1085,43
2013,부산광역시,3,2460,74
2013,서울특별시,0,0,0
2013,울산광역시,2,2460,49
2013,인천광역시,12,0,0
2013,전라남도,300,1496,4489
2013,전라북도,1925,1581,30432
2013,제주도,0,0,0
2013,충청남도,1408,1606,22619
2013,충청북도,3867,1634,63177
2014,강원도,522,426,2225
2014,경기도,268,848,2272
2014,경상남도,3370,1862,62716
2014,경상북도,18811,1554,292340
2014,광주광역시,0,0,0
2014,대구광역시,78,1617,1262
2014,대전광역시,5,1397,70
2014,부산광역시,1,2529,25
2014,서울특별시,0,0,0
2014,울산광역시,3,1686,51
2014,인천광역시,23,0,0
2014,전라남도,308,1642,5058
2014,전라북도,2078,1376,28598
2014,제주도,0,0,0
2014,충청남도,1358,1725,23427
2014,충청북도,3877,1462,56667
2015,강원도,721,620,4472
2015,경기도,330,830,2740
2015,경상남도,3444,1966,67491
2015,경상북도,19247,1936,372627
2015,광주광역시,0,0,0
2015,대구광역시,66,2345,1548
2015,대전광역시,4,1277,51
2015,부산광역시,1,2660,27
2015,서울특별시,0,0,0
2015,울산광역시,4,1995,80
2015,인천광역시,24,0,0
2015,전라남도,289,1841,5320
2015,전라북도,2223,1560,34688
2015,제주도,0,0,0
2015,충청남도,1283,1914,24560
2015,충청북도,3984,1738,69242
2016,강원도,831,695,5778
2016,경기도,295,757,2234
2016,경상남도,3339,1531,51134
2016,경상북도,20083,1831,367710
2016,광주광역시,2,0,0
2016,대구광역시,81,2009,1627
2016,대전광역시,20,1611,322
2016,부산광역시,6,1479,89
2016,서울특별시,0,0,0
2016,울산광역시,19,1798,342
2016,인천광역시,8,1018,81
2016,전라남도,554,1674,9274
2016,전라북도,2360,1738,41008
2016,제주도,0,0,0
2016,충청남도,1615,1683,26924
2016,충청북도,4087,1709,69846
2017,강원도,930,597,5550
2017,경기도,310,569,1762
2017,경상남도,3387,1588,53782
2017,경상북도,20178,1675,338034
2017,광주광역시,0,0,0
2017,대구광역시,82,1620,1322
2017,대전광역시,13,1491,199
2017,부산광역시,3,464,13
2017,서울특별시,0,327,0
2017,울산광역시,27,1194,327
2017,인천광역시,4,466,21
2017,전라남도,533,1429,7621
2017,전라북도,2525,1612,40694
2017,제주도,0,2098,1
2017,충청남도,1584,2050,29362
2017,충청북도,4024,1657,66661
2018,강원도,947,581,5506
2018,경기도,316,314,992
2018,경상남도,3374,1496,50461
2018,경상북도,19780,1594,315230
2018,광주광역시,2,1068,21
2018,대구광역시,56,913,509
2018,대전광역시,12,1300,153
2018,부산광역시,5,303,15
2018,서울특별시,0,0,0
2018,울산광역시,32,528,167
2018,인천광역시,16,312,50
2018,전라남도,545,730,3984
2018,전라북도,2643,1082,28597
2018,제주도,0,750,1
2018,충청남도,1450,2478,18035
2018,충청북도,4056,1272,51580
2019,강원도,1092,960,10486
2019,경기도,341,498,1699
2019,경상남도,3313,1875,62136
2019,경상북도,19462,1737,338085
2019,광주광역시,3,1284,35
